,128,512,2048,8192
-8.0,1.6408635377883911,1.5961085557937622,1.5479522943496704,1.4593908786773682
-7.578947368421053,1.5586233139038086,1.5116318464279175,1.457251787185669,1.3600614070892334
-7.157894736842105,1.4705544710159302,1.41422438621521,1.3479894399642944,1.235037088394165
-6.7368421052631575,1.3712211847305298,1.296921730041504,1.2109161615371704,1.0711066722869873
-6.315789473684211,1.2596189975738525,1.1559756994247437,1.0390427112579346,0.8637838363647461
-5.894736842105264,1.141804814338684,0.9947530031204224,0.8441119194030762,0.637749433517456
-5.473684210526316,1.02288818359375,0.8337143063545227,0.6640798449516296,0.46041417121887207
-5.052631578947368,0.9144467115402222,0.6969980597496033,0.5176349878311157,0.33150193095207214
-4.631578947368421,0.8053986430168152,0.561312198638916,0.4079833924770355,0.2442711442708969
-4.210526315789474,0.7188562154769897,0.4354803264141083,0.2879180610179901,0.1928628385066986
-3.7894736842105265,0.6474652886390686,0.3303339183330536,0.1825844943523407,0.14888495206832886
-3.3684210526315788,0.5762815475463867,0.22646541893482208,0.10144488513469696,0.04977457970380783
-2.947368421052632,0.5795080065727234,0.19044843316078186,0.09447073191404343,0.025669477880001068
-2.526315789473685,0.5864725708961487,0.20802322030067444,0.06490014493465424,0.01992662064731121
-2.105263157894737,0.7051271200180054,0.3071961998939514,0.15484324097633362,0.016877055168151855
-1.6842105263157894,0.865513026714325,0.4995262920856476,0.2718740403652191,0.10871974378824234
-1.2631578947368425,1.0905741453170776,0.7953561544418335,0.5507907271385193,0.4001035690307617
-0.8421052631578956,1.522397756576538,1.2157790660858154,0.9140445590019226,
-0.4210526315789478,1.7791780233383179,1.6221702098846436,1.5902295112609863,
0.0,2.101672649383545,2.3022778034210205,,
