,128,512,2048,8192
-8.0,1.458528757095337,1.418735384941101,1.4153172969818115,1.4112669229507446
-7.578947368421053,1.3824504613876343,1.3358806371688843,1.3293671607971191,1.3248757123947144
-7.157894736842105,1.300118327140808,1.2376874685287476,1.2261912822723389,1.2194281816482544
-6.7368421052631575,1.2030832767486572,1.116718053817749,1.1001285314559937,1.089618444442749
-6.315789473684211,1.0914510488510132,0.9778643250465393,0.9475237727165222,0.9330421090126038
-5.894736842105264,0.981834352016449,0.8249554634094238,0.7806349992752075,0.7602120041847229
-5.473684210526316,0.8704226016998291,0.6713440418243408,0.6147891283035278,0.5904239416122437
-5.052631578947368,0.7797907590866089,0.5335771441459656,0.4641655683517456,0.4372642934322357
-4.631578947368421,0.686278223991394,0.41429153084754944,0.32792624831199646,0.3011619448661804
-4.210526315789474,0.6113848090171814,0.2951032817363739,0.21574103832244873,0.18762385845184326
-3.7894736842105265,0.5389620661735535,0.21210236847400665,0.13566653430461884,0.10343916714191437
-3.3684210526315788,0.5172768235206604,0.14345186948776245,0.059546150267124176,0.05183904618024826
-2.947368421052632,0.5392109155654907,0.11612949520349503,0.057162847369909286,0.019467104226350784
-2.526315789473685,0.5772101879119873,0.16811813414096832,0.029912477359175682,0.013993984088301659
-2.105263157894737,0.6866215467453003,0.29101285338401794,0.12411651760339737,0.024637600407004356
-1.6842105263157894,0.8450596928596497,0.5106880068778992,0.2605583071708679,0.07305215299129486
-1.2631578947368425,1.1351492404937744,0.8066756129264832,0.5997908711433411,0.5004433393478394
-0.8421052631578956,1.4787325859069824,1.1909557580947876,1.0265998840332031,
-0.4210526315789478,1.9045473337173462,,,
0.0,,,,
